Airline ID,Name,Alias,IATA/IACO,Callsign,Country
3,1Time Airline,,1T,NEXTIME,South Africa
10,40-Mile Air,,Q5,MILE-AIR,United States
13,Ansett Australia,,AN,ANSETT,Australia
14,Abacus International,,1B,,Singapore
21,Aigle Azur,,ZI,AIGLE AZUR,France
22,Aloha Airlines,,AQ,ALOHA,United States
24,American Airlines,,AA,AMERICAN,United States
28,Asiana Airlines,,OZ,ASIANA,Republic of Korea
29,Askari Aviation,,4K,AL-AAS,Pakistan
32,Afriqiyah Airways,,8U,AFRIQIYAH,Libya
35,Allegiant Air,,G4,ALLEGIANT,United States
42,ABSA - Aerolinhas Brasileiras,,M3,ABSA Cargo,Brazil
55,Astral Aviation,,8V,ASTRAL CARGO,Kenya
68,Air Tindi,,8T,,Canadian Territories
72,Ada Air,,ZY,ADA AIR,Albania
83,Adria Airways,,JP,ADRIA,Slovenia
90,Air Europa,,UX,EUROPA,Spain
93,Aero Benin,,EM,AEROBEN,Benin
96,Aegean Airlines,,A3,AEGEAN,Greece
106,Air Europe,,PE,AIR EUROPE,Italy
109,Alaska Central Express,,KO,ACE AIR,United States
110,ACES Colombia,,AES,ACES,Colombia
112,Astraeus,,5W,FLYSTAR,United Kingdom
114,Aerosvit Airlines,,VV,AEROSVIT,Ukraine
116,Air Italy,,I9,AIR ITALY,Italy
120,Alliance Airlines,,QQ,UNITY,Australia
125,Ariana Afghan Airlines,,FG,ARIANA,Afghanistan
130,Aeroflot Russian Airlines,,SU,AEROFLOT,Russia
132,Air Bosna,,JA,AIR BOSNA,Bosnia and Herzegovina
137,Air France,,AF,AIRFRANS,France
139,Air Caledonie International,,SB,AIRCALIN,France
146,Air Salone,,2O,,Sierra Leone
149,Air Cargo Carriers,,2Q,NIGHT CARGO,United States
153,Air Namibia,,SW,NAMIBIA,Namibia
165,Aerolitoral,,5D,COSTERA,Mexico
174,Air Glaciers,,7T,AIR GLACIERS,Switzerland
176,Aviogenex,,AGX,GENEX,Serbia
179,Aeroper,,PL,Aeroperu,Peru
180,Atlas Blue,,8A,ATLAS BLUE,Morocco
197,Azerbaijan Airlines,,J2,AZAL,Azerbaijan
198,Avies,,U3,AVIES,Estonia
208,Airblue,,ED,PAKBLUE,Pakistan
210,Airlift International,,AIR,AIRLIFT,United States
214,Air Berlin,,AB,AIR BERLIN,Germany
218,Air India Limited,,AI,AIRINDIA,India
220,Air Bourbon,,ZB,BOURBON,Reunion
221,Air Atlanta Icelandic,,CC,ATLANTA,Iceland
225,Air Tahiti Nui,,TN,TAHITI AIRLINES,France
231,Arkia Israel Airlines,,IZ,ARKIA,Israel
239,Air Jamaica,,JM,JAMAICA,Jamaica
